Название;_идентификатор;кол-во в упаковке;артикул;Категория1;Категория2;Категория3;Категория4;
Глазок дверной ГД-220(50/85)D16 GP "САЗАР";ftp://37.193.224.113/pub/image2.png;500;306462;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные CАЗАР;Глазок дверной ГД-220(50/85)D16 GP "САЗАР";
Глазок дверной ГД-220(50/85)D16 АВ "САЗАР";ftp://37.193.224.113/pub/image3.png;500;306460;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные CАЗАР;Глазок дверной ГД-220(50/85)D16 АВ "САЗАР";
Глазок дверной ГД-220(50/85)D16 СP "САЗАР";ftp://37.193.224.113/pub/image4.png;500;306461;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные CАЗАР;Глазок дверной ГД-220(50/85)D16 СP "САЗАР";
Глазок двер. 05-32/14/180 мат. золото GALILEO DV;;300;305772;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные GALILEO DV;;
Глазок дверной ГДШ 55-75мм МеталлоПласт Хром (25);;25;309745;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Длинный 50-80мм (100) Золото;ftp://37.193.224.113/pub/image5.png;100;304724;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Длинный 50-80мм Хром (100);ftp://37.193.224.113/pub/image6.png;100;304725;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Длинный 50-80мм ЧернЗерк (25);ftp://37.193.224.113/pub/image7.png;25;304726;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Короткий 35-50мм Золото (25,100);ftp://37.193.224.113/pub/image8.png;100;304719;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Короткий 35-50мм Хром (100);ftp://37.193.224.113/pub/image9.png;100;304720;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Короткий 35-50мм ЧернЗерк (25);ftp://37.193.224.113/pub/image10.png;25;304806;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Средний 50-65мм Золото (100);ftp://37.193.224.113/pub/image11.png;100;304721;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Средний 50-65мм Хром (100,25);ftp://37.193.224.113/pub/image12.png;100;304722;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ Средний 50-65мм ЧернЗерк (25);ftp://37.193.224.113/pub/image12.png;25;304723;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Глазок дверной ГДШ-3 пластмассовый 35-50мм Черный (100);ftp://37.193.224.113/pub/image13.png;100;304727;ЗАМКИ И ФУРНИТУРА;ГЛАЗКИ;Глазки дверные Вавилова г. Минск;;
Доводчик дверной Apecs DC-23/40-65-M-BR;ftp://37.193.224.113/pub/image14.png;10;307891;ЗАМКИ И ФУРНИТУРА;ДОВОДЧИКИ;Доводчики Apecs;;
Доводчик дверной Apecs DC-23/40-65-M-S;ftp://37.193.224.113/pub/image15.png;10;307892;ЗАМКИ И ФУРНИТУРА;ДОВОДЧИКИ;Доводчики Apecs;;
Доводчик дверной Apecs DC-23/40-65-M-W;ftp://37.193.224.113/pub/image16.png;10;307893;ЗАМКИ И ФУРНИТУРА;ДОВОДЧИКИ;Доводчики Apecs;;
Доводчик дверной Apecs DC-24/60-80-M-SL;ftp://37.193.224.113/pub/image17.png;10;307894;ЗАМКИ И ФУРНИТУРА;ДОВОДЧИКИ;Доводчики Apecs;;
Доводчик дверной Apecs DC-25/80-100-M-W;ftp://37.193.224.113/pub/image18.png;10;307895;ЗАМКИ И ФУРНИТУРА;ДОВОДЧИКИ;Доводчики Apecs;;
Доводчик D01-050 белый "Сазар";ftp://37.193.224.113/pub/image19.png;10;305677;ЗАМКИ И ФУРНИТУРА;ДОВОДЧИКИ;Доводчики CАЗАР;;
